题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
ChatGPT“吹皱”A股一池春水 AI产业迎来发展新契机,罗茂林; 孙小程,上海证券报,2023-02-01,报纸,0,258,时隔两个多月，聊天人工智能ChatGPT在科技圈激起的涟漪再次从海外扩散到国内。新年伊始，A股市场上突然刮起了一阵AIGC（人工智能生产内容）风。 事实上，早在去年12月初ChatGPT刚刚推出之时，上海证券报记者就曾深度体验并报道其相关功能。此后微软增资ChatGPT背后的人工智......,证券部; 汉王科技; ChatGPT; 人工智能; 上市公司; 虚拟人; 自然语言处理;
知识让ChatGPT聪明如人类,李兴彩,上海证券报,2023-02-01,报纸,0,431,“它能如此自信地对答如流，简直就是个‘新闻发言人’；不管我怎么提问，它都能绕开一些敏感话题，但又精妙地给出答案。”一大早，记者就在同学群看到，有人感叹ChatGPT“又进化了”。 ChatGPT是一款对话式AI聊天机器人，由微软旗下的人工智能研究实验室OpenAI于2022年11月3......,自然语言理解; 人工智能; ChatGPT; 机器视觉; 语音识别;
"ChatGPT爆火,是AI的“狂飙”吗",张田勘,家庭科技,2023-02-01,特色期刊,0,14,"<正>生成式预训练转换器（Chat Generative Pre-trained Transformer,ChatGPT）是美国一家人工智能研究公司研发的聊天机器人程序，2022年11月一经推出，便在社交媒体上迅速走红，至今月活跃用户已过亿。ChatGPT能够通过学习和理解人类的语言来进行对话、回答各种问题，还能根据要求完成视频脚本、文案、论文、代码等写作任务。它的成功，源于以深度学习为代表的人工智能技术的长期积累，对生物科学领域产生了重要的影响。",无
国产版ChatGPT要来？百度股价大涨，传统搜索引擎或被取代,刘佳,第一财经日报,2023-01-31,报纸,0,207,一条百度将于3月在中国推出类似ChatGPT的AI聊天机器人的传闻，令百度30日港股涨幅快速扩大，盘中一度涨超5%。但截至发稿，百度港股出现0.58%的跌幅，报136.1港元，总市值3762亿港元。 此前有消息称，百度计划在3月份推出ChatGPT风格的应用，最初将其嵌入主要搜索服务中。该......,ChatGPT; 语言模型;
日活量破千万 ChatGPT为何火爆全球？,文巧,每日经济新闻,2023-01-31,报纸,0,581,在去年11月底横空出世之后，火爆全球的聊天机器人ChatGPT掀起了新的风浪。 据《纽约时报》1月中旬报道，北密歇根大学的哲学教授Antony Aumann在为自己任教的一门课程评分时，惊喜地读到了一篇“全班最好的论文”。在这篇论文中，作者以简洁的段落、恰当的举例和严谨的论据，......,量子物理学; 聊天机器人; ChatGPT; 学习能力; Instagram; AWS; 人工智能; 每日经济新闻;
"你好,ChatGPT!",朱春阳,新闻大学,2023-01-15,期刊,0,1740,"<正>在这个时间点上写卷首语,绕不开ChatGPT了。犹如正匆忙赶路,迎面看到它疾驰而来,躲也躲不过去,只能硬着头皮道一声:“你好,ChatGPT!”今年是ChatGPT,去年是元宇宙,再往前是区块链。我常常疑惑,为何有了元宇宙、区块链,人类又迎来了ChatGPT?它们与现实世界是何种联系?它们之间是何种关系呢?例如,我对元宇宙的理解大致有两点疑问。(1)元宇宙主要落地领域几乎都与游戏行业密切相关,",无
ChatGPT的技术特征与应用前景,郭全中; 张金熠,中国传媒科技,2023-01-15,期刊,0,1797,"<正>2022年11月30日，人工智能研究实验室Open AI上线了新一代对话式自然语言识别（Natural Language Processing,NLP）模型ChatGPT，该模型一经面世，首先引发了科技界的巨大关注，后迅速在社会层面形成广泛热议，在短短5天突破百万用户。毫无疑问，Chat GPT表现出对话生成式NLP模型在多场景、多行业、多领域的落地潜能与应用前景，然而利用人工智能技术生成内容（AI Generated Content，缩写AIGC）乃至所有深度合成内容当前所隐含的经济、文化、社会风险也不容忽视。因此，",无
迎接ChatGPT即将带来的颠覆性变革,曾建勋,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
即使可能，未必可以——也谈ChatGPT和Medical AI,刘虹,医学与哲学,2023-01-05,期刊,0,49,<正>比尔·盖茨认为，ChatGPT的诞生的重大历史意义，不亚于互联网或个人电脑的诞生。多名业内人士将ChatGPT的出现形容为“颠覆性”和“革命性”的，并预测其未来将有着更强大的能力，可以取代一些基础性职业。在强大的互联网数据库支撑的条件下，ChatGPT可以展现强大能力：几乎可以回答任何知识类问题；可以处理复杂问题，撰写论文、发言稿；,无
ChatGPT与古籍智能信息处理研究：机遇与挑战,王东波,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
