题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
人工智能生成内容(AIGC)的三个出版学议题 网络首发,方卿; 丁靖佳,出版科学,2023-03-31 10:25,期刊,0,329,"人工智能生成内容(AIGC)技术及其应用的发展,将彻底改变出版的内容生产范式和内容供给模式,在创新推动出版发展的同时也带来诸多风险与问题。对此,出版学需重点关注AIGC的权利归属、侵权、权益保障等著作权问题,技术伦理和学术伦理失范等伦理问题,以及进一步引发的意识形态渗透、文化价值观偏离等文化安全问题,并以此为逻辑起点探寻解决之道。",AIGC; 出版学; 著作权; 技术伦理; 学术伦理; 文化安全;
人工智能生成内容（AIGC）对学术生态的影响与应对——基于ChatGPT的讨论与分析 网络首发,骆飞; 马雨璇,现代教育技术,2023-03-24 14:02,期刊,0,3436,以ChatGPT为代表的人工智能生成内容（AIGC）发展日益蓬勃，引起了业界与学界的广泛讨论，然而目前对于AIGC如何影响学术生态的讨论尚不系统。文章首先梳理了AIGC的源起与发展，并讨论了ChatGPT带来的新变革。然后基于学术生态的基本概念构建分析框架，讨论了AIGC对学术生产、学术评价、学术传播方面的影响，并以ChatGPT为例进行了具体分析与讨论。研究认为，以ChatGPT为代表的AIGC可以在知识生产、科学评价、快速传播等方面发挥作用，但也可能造成责任分散、潜在歧视与信任危机。最后，文章讨论了如何应对AIGC带来的风险挑战。未来需要进一步强化责任规范、构建审查机制与推动研究透明。本研究为政策制定者理解AIGC对学术生态的影响提供了一个理解视角，并对如何科学合理使用AIGC提出了逻辑进路，旨在为未来学术生态的良性健康发展提供参考。,人工智能生成内容; 学术生态; ChatGPT; 学术生产; 学术评价;
人工智能生成内容（AIGC）的演进历程及其图书馆智慧服务应用场景 网络首发,蔡子凡; 蔚海燕,图书馆杂志,2023-03-14 17:55,期刊,0,1692,基于人工智能（ArtificialIntelligence，AI）的智慧服务将是元宇宙图书馆的构建与实践核心，近几年AI在智慧服务方面发挥着越来越重要的作用。在国内外图情领域，人工智能生成内容（AI-GeneratedContent，AIGC）已进入理论探讨和初步实践阶段。本文在介绍AIGC技术的发展历程、技术演进、技术场景、技术治理等基础上，着重阐述AIGC 技术在图书馆智慧服务中的应用场景，主要涉及文献采购、资源组织、阅读服务、决策咨询、素养教育、用户管理等方面。最后，在分析AIGC在智慧服务中可能存在问题的基础上，提出图书馆需要从资源基础保障、场景预训练模型、专业技术能力建设、创新项目支撑等方面不断完善和优化，从而创设不同用户需求的智慧服务应用场景，以满足用户多元化服务需求的构建策略。,元宇宙; AIGC; 智慧图书馆; 智慧服务;
“特别能聊”的人工智能会聊出些什么？,时斓娜,工人日报,2023-02-03,报纸,0,419,阅读提示 全新人工智能聊天机器人模型ChatGPT不仅能够通过学习人类的语言来进行对话，还能根据聊天的上下文进行互动，让人们更直观地感受到了人工智能的魅力。包括内容生成、搜索引擎增强等在内的领域，将是其潜在的产业化方向。ChatGPT的商业化落地，还需要克服技术和科技......,人工智能; 聊天机器人; 意图识别;
西方人工智能生成内容版权问题研究综述,谢婧轩,中阿科技论坛(中英文),2022-12-10,期刊,0,322,长久以来，西方版权学家们围绕人工智能生成内容的版权问题展开激烈探讨。争议的三大问题：人工智能生成内容的可版权性、人工智能生成内容的版权归属、人工智能生成内容的保护模式。由于人工智能生成内容的版权问题具有发展性、未来性与地域性，当前学界对以上三大问题尚未达成共识。本文梳理了Hein Online法学全文期刊数据库中的西方学界对人工智能生成内容版权问题研究的60余篇文献，通过理清研究的缘起与演进脉络，对人工智能生成内容的版权问题进行了具体探讨。,人工智能; 可版权性; 权利归属; 公共领域;
人工智能生成内容(AIGC)的技术特征与形态演进 网络首发,李白杨; 白云; 詹希旎; 李纲,图书情报知识,2022-11-28 14:13,期刊,0,3194,"[目的/意义]多模态内容的富集涌现推动着技术模型的更新迭代。探讨和理解信息资源管理视角下人工智能生成内容(AIGC)的挑战与机遇,对AIGC未来的应用拓展和场景落地具有积极作用。[研究设计/方法]立足于互联网的演化发展,从网络形态演进、内容生产、人机交互模式、网络资源组织四个层面梳理了AIGC发展的基础条件。以数据赋值、模型赋智、空间赋能三个维度为着力点,分别探讨了AIGC的技术特征、基于算据、算法、算力的技术要素和基于实体孪生、学习创作、实时自主生成的发展阶段。[结论/发现]AIGC与技术算法的融合应用,为信息资源管理的研究与实践带来了实质性的影响,具体表现在信息组织、数据资产管理、用户研究和信息伦理四个角度。[创新/价值]信息资源加持下的AIGC具有强大的生产力,为整个内容生态和创作模式带来了全新的尝试。分析其要素、特征和影响,有助于促进AIGC在信息资源管理领域的探索和实践。",人工智能生成内容; 数据资产; 信息资源管理; 信息组织;
人工智能生成内容专利权权属安排之探讨——以DABUS案为视角,魏丽丽; 彭飞荣; 毛添,专利代理,2022-08-15,期刊,0,177,人工智能深度介入专利发明的创新已经成为现代技术的发展趋势，人工智能主体能否作为发明人申请专利，这一问题引发激烈讨论。随着澳大利亚上诉法院对DABUS案的改判，在世界范围内机器无法成为人工智能生成内容的专利权主体这一议题已经达成共识。但在否定机器作为权利主体后，人工智能生成内容专利权权属如何安排，比较域外最新立法、司法实践，发现多国之间存在一定的分歧。目前，我国应结合人工智能产业实践，采取“作出必要安排的人”说，对人工智能生成内容专利权权属主体进行认定。,人工智能生成内容; 专利权权属; 发明人; DABUS;
论人工智能生成内容的著作权保护——以两大体系为视角,李胜利; 武颖怡,黑龙江工业学院学报(综合版),2022-07-20,期刊,1,848,论及人工智能生成内容的著作权保护，法律主体与独创性是必须回答的问题。人工智能主体不适格，目前仍是人类的辅助工具。人工智能生成内容是否符合独创性要求，版权体系与作者权体系观点不一致，版权体系的判断标准更加契合著作权法立法目的和人工智能的创作特征。应当给予人工智能生成内容著作权保护，立足国情借鉴版权体系独创性标准，考虑到人工智能产业高投资的特征，现阶段将权利归属于投资者更为适宜。,人工智能生成内容; 独创性; 作者权体系; 版权体系; 主体资格;
论人工智能生成内容的著作权问题探究,邾立军; 田熔榕,《上海法学研究》集刊2022年第5卷 ——2022世界人工智能大会法治论坛文集,2022-07-01,国际会议,0,525,"人工智能生成内容给现行著作权的相关制度带来了巨大的冲击,回答人工智能生成内容的可著作权性这一问题时,应当坚持""内容决定主义""原则,即暂时不考虑其主体因素,去判断其他构成要件是否符合著作权法上有关作品的标准。人工智能通过""深度学习"",可以独立地模拟人脑对数据进行选择编排,最终生成符合最低限度创造性标准的内容,因此就具有实际意义的""独创性"",可以受著作权法保护。在考虑权利归属安排这一问题时,应将其界定为人工智能最终生成内容贡献较大的三类主体:设计者、所有者和使用者。在其产生冲突时,可以尊重合同的约定,建立以使用者为核心的著作权保护制度。",人工智能; 生成内容; 可著作权; 权利归属; 内容决定主义; 深度学习;
人工智能生成内容的著作权保护问题研究,张逸飞,辽宁经济,2022-06-20,期刊,0,445,随着以智能化为特征的新一轮科技革命的兴起，我国在人工智能领域取得了突飞猛进的发展，但是，人工智能这一新生事物尚未完全融入现有的法律体系，其生成的有关内容存在作品属性不明朗、权利主体不明确、保护路径不明晰的法理困境和制度障碍。而通过对人工智能生成内容的过程和输出结果两个维度的考察，可以发现其已经具备了作品的构成要件；对于其权利的归属，可以依据“创作原则”和“投资属性”建立以归属开发者为原则、以归属所有者为补充，以合同约定为例外的归属模式；对于其保护路径，可在区分人类作品和人工智能作品的基础上，建立人工智能作品登记制度，以鼓励人工智能作品的创作和传播，推进我国社会的数字化、智能化发展。,人工智能; 生成内容; 独创性; 著作权;
版权视角下人工智能生成内容问题的思考——以人工智能生成内容版权纠纷案为切入点,涂啸菲; 周宇,东南传播,2022-06-20,期刊,1,336,人工智能生成内容的出现，不仅给文学艺术等传统的版权领域带来了巨大的冲击，给司法实践也造成了诸多难题。“菲林案”和“Dreamwriter案”接连发生，内容与审判结果高度类似的两案，判决理由却不尽相同。对此，应当从人工智能本身性质与立法目的及民事主体制度出发，探讨人工智能无法被认定为版权主体的法律逻辑；而从版权客体的两大属性出发，认定人工智能生成内容具备符合版权客体的独创性判断标准并构成智力成果的特征，满足构成版权客体的条件，应当受到版权法的保护。,人工智能生成内容; 版权主体; 版权客体; 独创性判断; 智力成果;
