题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
ChatGPT智能机器人应用的风险与协同治理研究 网络首发,蔡士林; 杨磊,情报理论与实践,2023-04-06 16:40,期刊,0,207,[目的/意义]作为大型语言模型的杰作，ChatGPT智能机器人的出现暗示着强人工智能时代即将来临。由于ChatGPT功能多样和强智能性等特征使其备受关注，但同时也潜藏应用风险，故而有必要探索治理路径。[方法/过程]文章分析ChatGPT的技术逻辑和特征，论证“ChatGPT”智能机器人应用的风险类型，并在此基础上构建协同治理的体系。[结果/结论]ChatGPT智能机器人应用的风险主要包括：社会信任机制面临危机、版权规则遭受冲击、个人数据的泄露风险骤升以及真实信息被篡改或滥用。未来法律层面应当完善数据分类分级、数据获取以及数据利用制度；ChatGPT开发者和平台层面应当分别强化审查义务和数据清洗义务；ChatGPT用户层面应当承担声明义务和注意义务，同时提高甄别能力；行业组织层面需要发布技术指南，推进企业事前合规建设。,ChatGPT; 人工智能; 大语言模型; 数据安全; 协同治理; 合规建设;
从ChatGPT爆发到GPT技术革命的启示 网络首发,叶鹰; 朱秀珠; 魏雪迎; 王静静; 王婉茹,情报理论与实践,2023-04-06 14:47,期刊,0,305,[目的/意义]文章旨在探讨GPT类技术发展带来的启示，提醒学界和业界关注GPT类技术应用将引发颠覆性变革。[方法/过程]揭示了从ChatGPT到ChatGPT Plus的发展及GPT技术革命的颠覆性特征，讨论了大语言模型的革命性潜力。[结果/结论]在GPT类大语言模型技术的支持下，ChatGPT类应用风靡世界，新技术革命正在发生，将全面影响以教育、科学、文化为核心的智力工作，彻底改变知识生态，开启智能信息处理和信息资源管理之颠覆性变革。,ChatGPT; ChatGPT Plus; 大语言模型; 智能信息处理; 信息资源管理;
李彦宏：大语言模型将带来三大产业机会,张利娟,中国报道,2023-04-05,期刊,0,0,<正>AI市场爆发性的需求增长将释放出前所未有的、指数级的商业价值。“给出的答案总体来说综合性强、内容提炼度高，大大超出了预期。”多位体验过文心一言测试的用户评价道。通过在文学创作、商业文案创作、数理推算、中文理解、多模态生成五个使用场景中的能力展现，文心一言某种程度上具有了对人类意图的理解能力，回答的准确性、逻辑性、流畅性都逐渐接近人类水平。此外，文心一言还具备文本、图片、音频和视频的多模态生成能力，在音频方面甚至能够生成四川话等方言语音。,无
GPT类技术应用开启智能信息处理之颠覆性变革 网络首发,王静静; 叶鹰; 王婉茹,图书馆杂志,2023-04-04 09:21,期刊,0,386,本文在浅析GPT类技术影响智能信息处理的主要方式基础上，提示多模态大模型正在给智能信息处理带来颠覆性变革，主要体现在大模型、多模态、跨语言等方面。文本生成、智能对话、机器翻译等波及智能信息处理的颠覆性应用将对信息处理的自动分析、提取、生成和决策带来巨大的效率提升，从而带来智能信息处理的颠覆性变革。目前，这一革命浪潮正以不可阻挡之势席卷而来，学界和业界须高度关注并积极应对GPT类技术应用开启的智能信息处理革命。,ChatGPT; 智能信息处理; GPT; 大语言模型; 多模态;
人工智能需要“灵魂”吗——由大语言模型引发的可能性及质疑,王峰,上海师范大学学报(哲学社会科学版),2023-03-25,期刊,0,11,ChatGPT、GPT4等大语言模型表现出来的超强对话能力和智能表征再次引发了人们对人工智能的热议，大语言模型不具有自我意识或灵魂的痕迹。在有机体这里，思考与灵魂是一致的，而在人工智能这里，思考与灵魂是分离的。人们能够说人工智能思考，但不能说人工智能具有灵魂，哪怕一点儿痕迹。灵魂灌注论明显犯了混淆有机体与人工智能根本界限的错误，人工智能自意识之类的观念本质上是概念误用。清除这一概念误用有利于将大语言模型等人工智能摆在一个恰当的社会位置上。,大语言模型; 人工智能; 灵魂; 思考; 概念误用;
ChatGPT给语言大模型带来的启示和多模态大模型新的发展思路 网络首发,赵朝阳; 朱贵波; 王金桥,数据分析与知识发现,2023-03-21 15:36,期刊,0,1785,【目的】 剖析ChatGPT的基础技术原理，探讨其对大语言模型发展产生的影响，以及对多模态大模型发展思路产生的影响。【方法】 通过分析ChatGPT的发展过程和技术原理，探讨指令微调、数据采集与标注、基于人类反馈的强化学习等模型构建方法对大语言模型产生的影响。分析当前多模态大模型构建过程中遇到的关键科学问题，并借鉴ChatGPT的技术方案，探讨多模态大模型未来的发展发展思路。【结论】 ChatGPT为预训练大模型向下游任务的发展提供了良好的参考技术路径，未来的多模态大模型构建以及下游任务实现过程中，可以充分利用高质量的指令微调等技术来显著提升多模态大模型的下游任务性能。,语言大模型; 预训练大模型; 多模态预训练模型; ChatGPT;
人工智能新近发展及其对经济学研究范式的影响,洪永淼; 汪寿阳,中国科学院院刊,2023-03-20,期刊,0,497,以ChatGPT及其大语言模型为代表的人工智能将对经济学研究范式产生深远影响。目前，经济学实证研究一般使用参数维数较少、经济可解释性较强的小模型。然而，经济金融系统是一个超高维动态复杂系统，受多种因素的影响，且这些因素之间的关系呈现非线性与时变性特征，小模型无法刻画其本质规律。大模型可有效减少系统偏差，更好刻画复杂经济系统的特征与运行规律；而海量数据的使用可避免模型过度拟合，使大模型具有较好的泛化能力即样本外预测能力。为支持经济学及社会科学其他领域的大模型的估计、推断与预测，需要利用人工智能技术整合各种异构、异源、异频数据，构建大规模计量经济学数据库，并加强大算力等信息技术基础设施建设。目前，ChatGPT及大模型等前沿人工智能技术仍存在局限性，如：无法像人类一样进行批判性思考或想象，只有预测能力；基于大数据的人工智能因果推断本质上是一种统计关系推断，需要引入经济理论或实验方法帮助识别真正的因果关系；人工智能技术不能改变经济学实证研究从样本推断总体性质的本质；同时，由于互联网大数据存在大量虚假信息或样本选择偏差等问题，基于人工智能所获得的结论的可靠性需要验证。,人工智能; ChatGPT; 大模型; 维数灾难; 因果推断;
ChatGPT中文性能测评与风险应对 网络首发,张华平; 李林翰; 李春锦,数据分析与知识发现,2023-03-18 17:49,期刊,0,2037,[目的]简要介绍ChatGPT的主要技术创新，使用9个数据集在4个任务上测评ChatGPT的中文性能，分析ChatGPT潜在的风险以及中国应对策略建议。 [方法] 使用ChnSentiCorp数据集测试ChatGPT和WeLM模型，EPRSTMT数据集测试ChatGPT和ERNIE 3.0 Titan， 发现ChatGPT在情感分析任务上与国产大模型差距不大；使用LCSTS和TTNews数据集测试ChatGPT和WeLM模型，ChatGPT均优于WeLM；使用CMRC2018和DRCD数据集进行抽取式的机器阅读理解，C3数据集进行常识性的机器阅读理解，发现ERNIE 3.0 Titan在该任务中优于ChatGPT；使用WebQA和CKBQA数据集进行中文闭卷问答测试，发现ChatGPT容易产生事实性错误，与国产模型差距较大。 [结果]ChatGPT在自然语言处理的经典任务上表现较好，在情感分析上具有85%以上的准确率，在闭卷问答上出现事实性错误的概率较高。 [局限]将判别式的任务转为生成式的过程中可能引入评估分数的误差。本文仅在零样本情况下评估ChatGPT，并不清楚其在其他情况下的表现。由于后续版本的迭代更新，ChatGPT评测结果具有一定的时效性。 [结论]ChatGPT很强大但仍然存在一些缺点，研发中国化的大模型应以国家战略需求为导向，并且注意语言模型的风险和局限。,语言模型; ChatGPT; 人工智能;
“文心一言”秀“五大场景”,陈姝,深圳商报,2023-03-17,报纸,0,72,3月16日下午，百度正式发布新一代大语言模型、生成式AI产品文心一言。百度创始人、董事长兼首席执行官李彦宏等展示了文心一言在文学创作、商业文案创作、数理推算、中文理解、多模态生成五个使用场景中的综合能力。他称，这类大语言模型还远未到发展完善的阶段，进步空间很大......,多模态; 李彦宏; 语言模型;
国内首个类ChatGPT模型MOSS发布,俞陶然,解放日报,2023-02-21,报纸,0,239,ChatGPT发布以来，基于指令学习技术的类ChatGPT模型在我国能否开发成功，成为业界关注的一个焦点。昨天，记者从复旦大学自然语言处理实验室获悉，国内第一个对话式大型语言模型MOSS已由邱锡鹏教授团队发布至公开平台（https://moss.fastnlp.top/），邀公众参与内测。 MOSS可......,对话能力; ChatGPT; 语言模型;
